What is infrastructure as code (IaC)?	Defining, deploying, updating, and destroying infrastructure through code rather than manual steps.
What are snowflake servers and configuration drift?	A snowflake server is one that becomes uniquely configured over time; configuration drift is the gradual divergence of supposedly identical systems caused by repeated in-place or manual changes.
What are the four main categories of IaC tools?	Configuration management; server templating; orchestration; provisioning.
What does configuration management do (IaC)?	It installs and manages software on existing servers.
What does server templating do (IaC)?	It builds reusable machine images.
What does orchestration do (IaC)?	It manages running servers or containers.
What does provisioning do (IaC)?	It creates infrastructure resources such as servers, databases, and networks.
Mutable vs immutable infrastructure: what is the main tradeoff?	Mutable infrastructure is usually simpler and cheaper to update in place; immutable infrastructure is usually more predictable and less prone to configuration drift because changes happen by replacement.
Configuration management vs provisioning: what is the key distinction?	Configuration management changes software on existing servers; provisioning creates the infrastructure resources those servers run on.
Terraform: how does it work at a high level?	It reads configuration files, builds a plan, and translates the desired state into API calls to providers.
Why is Terraform considered declarative?	You describe the desired end state, and Terraform figures out how to reach it.
Procedural vs declarative IaC: what is the main difference?	Procedural code specifies step-by-step actions; declarative code specifies the target end state.
Why is declarative IaC often easier to reuse and maintain?	The code describes the current desired state directly, instead of encoding a sequence of history-dependent steps.
What problem does Terraform state solve for declarative IaC?	It lets Terraform know what infrastructure already exists so it can compute the changes needed to reach the desired state.
General-purpose language vs DSL for IaC: what is the tradeoff?	GPLs offer more flexibility and ecosystem support; DSLs are usually simpler, more concise, and more uniform for infrastructure tasks.
Why is Terraform often described as masterless and agentless?	It runs as a client and talks directly to provider APIs instead of relying on a separate master server or per-server agent.
What is one reason Terraform does not provide transparent portability across cloud providers?	Different providers expose different infrastructure primitives and features, so “the same” infrastructure usually cannot be mapped exactly across clouds.
Why add a provider version constraint in `required_providers`?	To avoid unplanned upgrades that may introduce breaking changes.
What does the Terraform version constraint `required_version` do?	Prevents using Terraform CLI versions that don’t satisfy the constraint.
What file does Terraform use to record deployed infrastructure state by default?	`terraform.tfstate`.
How do you reference another resource’s attribute in Terraform config?	Use `<TYPE>.<NAME>.<ATTRIBUTE>` (e.g., `azurerm_resource_group.rg.name`).
Why does Terraform create a dependency graph?	To ensure resources are created/updated in a valid order based on references.
What does it mean to “update in-place” (Terraform)?	The resource is modified while keeping the same identity/address; it is not destroyed and recreated.
In plan output, what does “(known after apply)” mean?	The value is computed by the provider during apply and isn’t known at plan time.
Why can adding a reference create an implicit dependency without `depends_on`?	Because Terraform can infer ordering from the expression graph (data flow) in configuration.
What is an input variable (Terraform)?	A named value you can set from outside the config (or via defaults) and reference as `var.<name>`.
Where do you commonly declare input variables (Terraform)?	In `.tf` files such as `variables.tf` using `variable "<name>" { ... }`.
What does `default = "..."` do in a Terraform variable?	Makes the variable optional by providing a value when no input is given.
When is a Terraform variable required input?	When it has no `default` and no value is provided via other mechanisms.
How do you reference an input variable in Terraform configuration?	Use `var.<variable_name>` (e.g., `var.resource_group_name`).
How do you override a variable value for a single run (Terraform)?	Pass it on the CLI, e.g. `terraform apply -var "resource_group_name=NewName"`.
If CLI `-var` values aren’t saved, how do you avoid retyping them?	Use other mechanisms like `.tfvars` files or environment variables.
What environment-variable naming pattern can set Terraform variables?	`TF_VAR_<variable_name>` (e.g., `TF_VAR_resource_group_name`).
What do “must be replaced” and “forces replacement” indicate in Terraform plan output?	The change cannot be applied in place, so Terraform will destroy and recreate the resource instead.
Why can a dependent resource be replaced when its dependency is replaced?	Because it references attributes that change (e.g., `resource_group_name`), forcing it to be recreated too.
How do you tell replacement apart from in-place update in plan symbols?	`~` is update in-place; `-/+` is destroy then create replacement.
Why should you be cautious about putting secrets in variable defaults?	Defaults can end up in code/version control; prefer secret-safe inputs (env vars/secret managers).
What’s a typical variable definition “shape” you’ll see in real configs?	`variable "x" { type = string; description = "..."; default = "..." }`.
When should you add a `type` to a Terraform variable?	When you want stronger validation and clearer intent (e.g., `string`, `list(string)`).
What is an output value (Terraform)?	A declared value (in an `output` block) that Terraform records and can display/query for the user.
When does Terraform print output values?	After `terraform apply` completes (it prints an “Outputs” section).
How do you query saved outputs from the CLI (Terraform)?	Run `terraform output`.
Where do you typically define outputs (Terraform)?	In `.tf` files (often `outputs.tf`), using `output "..." { ... }`.
How do you reference a resource attribute in an output (Terraform)?	Use `<TYPE>.<NAME>.<ATTRIBUTE>` (e.g., `azurerm_resource_group.rg.id`).
How does a parent configuration reference a child module’s output (Terraform)?	`module.<module_name>.<output_name>`.
What does `sensitive = true` do for an output (Terraform)?	Marks the output as sensitive so Terraform suppresses it in normal CLI output.
Does marking an output as sensitive keep it out of state (Terraform)?	No; it can still be stored in state, so you must protect state access.
What is HCP Terraform (high level)?	A hosted Terraform platform for collaboration (versioning/auditing runs), remote execution, and remote state storage.
Why run Terraform in a remote environment (HCP Terraform)?	It provides shared access to state and a stable environment for long-running Terraform operations.
How do you configure HCP Terraform in Terraform CLI workflow (HCL block)?	Use a `terraform { cloud { organization = "..."; workspaces { name = "..." } } }` block.
What is an HCP Terraform workspace (conceptually)?	A named context that holds state and run history for a configuration.
What is the default execution mode for HCP Terraform CLI-driven workflow?	Remote execution (Terraform operations run in HCP Terraform).
What does “local execution” mean with HCP Terraform (CLI-driven)?	Terraform runs locally but stores state remotely in HCP Terraform.
Where should you set Azure `ARM_...` auth variables when using HCP Terraform?	In the HCP Terraform workspace Variables UI (not only as local shell exports).
Which Azure auth value should be marked sensitive in HCP Terraform variables?	`ARM_CLIENT_SECRET`.
What two main workflows does HCP Terraform support (names)?	VCS-driven workflow and API-driven workflow.
What triggers runs in an HCP Terraform VCS-driven workflow?	Commits/changes to the connected VCS repository queue plans/runs automatically.
Terraform language: what is HCL?	A configuration language Terraform’s native syntax is based on (also used by other HashiCorp tools).
What is a block in Terraform configuration syntax?	A container with a block type, optional labels, and a `{ ... }` body containing arguments and nested blocks.
What are “block labels” (Terraform/HCL)?	Quoted strings after the block type keyword that identify a particular instance (label count depends on block type).
For a `resource` block, what are the two labels (high level)?	The resource type (provider-specific) and the resource’s local name (arbitrary within the module).
Terraform resource meta-argument: what does `count` do?	Provisions multiple instances of the same resource from one block.
Terraform resource meta-argument: what does `for_each` do?	Provisions multiple instances from one block, one per element in a map or set.
What kinds of values can `for_each` take (Terraform)?	A map or a set of strings.
Terraform resource meta-argument: what does `depends_on` do?	Forces Terraform to complete operations on listed upstream references before operating on this resource.
Terraform resource meta-argument: what does `provider` do?	Selects a specific provider configuration (alias) to use for that resource.
What is the purpose of `lifecycle { ... }` on a resource (Terraform)?	Defines lifecycle rules controlling create/update/replace/destroy behavior.
Terraform lifecycle: what does `create_before_destroy` do?	Creates the replacement resource before destroying the current one.
Terraform lifecycle: what does `prevent_destroy` do?	Makes Terraform error if a plan would destroy the resource.
Does `prevent_destroy` protect a resource if you remove its configuration (Terraform)?	No; removing the block removes the rule, so Terraform can plan to destroy it.
Terraform lifecycle: what does `ignore_changes` do?	Tells Terraform to ignore diffs for listed attributes and not try to update them.
Terraform lifecycle: what does `replace_triggered_by` do?	Forces replacement when the referenced resources/attributes change.
Terraform lifecycle: what is a `precondition`?	A condition that must be true before creating the resource; otherwise Terraform errors with `error_message`.
Terraform lifecycle: what is a `postcondition`?	A condition checked after creating the resource; otherwise Terraform errors with `error_message`.
Terraform type: what is `list`/`tuple` (high level)?	An ordered sequence you index with whole numbers starting at 0 (e.g., `["a", 15, true]`).
Terraform type: what is `set` (high level)?	An unordered collection of unique values (no stable index ordering).
Terraform type: what is `map`/`object` (high level)?	Values identified by string keys/labels, like `{ name = "Mabel", age = 52 }`.
Terraform types: what are “primitive” vs “complex/collection” types?	Primitive: `string`, `number`, `bool`; complex/collection: lists/tuples, maps/objects (and `set` as a collection type).
What does `null` mean in Terraform configuration?	Absence/omission: setting an argument to `null` behaves as if the argument were omitted.
If you set an argument to `null`, what does Terraform do with defaults/required args?	It uses the argument’s default if it has one; otherwise it errors if the argument is required.
Why is `null` especially useful in Terraform expressions?	To conditionally omit an argument when a condition isn’t met.
How do you access list/tuple elements vs map/object elements in Terraform expressions?	`seq[3]` uses a whole-number index; `map["key"]` uses a string key.
When can you use dot-attribute notation on a map/object (Terraform)?	When the attribute name is a valid identifier (e.g., `local.object.attrname`).
Terraform heredoc: what does `<<-` mean (indented heredoc)?	Terraform trims common leading spaces from all lines (based on the least-indented line in the heredoc).
Terraform tip: should you use heredocs to generate JSON/YAML?	No; prefer `jsonencode(...)` / `yamlencode(...)` to guarantee valid syntax.
Terraform interpolation: what does `${ ... }` do?	Evaluates the expression, converts the result to a string if needed, and inserts it into the string.
Terraform directives: what does `%{ ... }` enable?	Conditionals and iteration over collections to build strings.
