Terraform resource reference: what does `<TYPE>.<NAME>` refer to?	A managed resource instance (or instances) of the given type and local name.
If a resource uses neither `count` nor `for_each`, what is the type/shape of `<TYPE>.<NAME>`?	An object representing the resource, with attributes you can access (e.g., `<TYPE>.<NAME>.id`).
If a resource uses `count`, what is the type/shape of `<TYPE>.<NAME>`?	A list of instance objects.
If a resource uses `for_each`, what is the type/shape of `<TYPE>.<NAME>`?	A map of instance objects keyed by the `for_each` keys.
Terraform child module: what does `module.<MODULE_NAME>` represent?	The result of a `module` block (its outputs exposed as a value).
If a `module` block uses neither `count` nor `for_each`, what is `module.<MODULE_NAME>`?	An object with one attribute per child-module output (access via `module.<MODULE_NAME>.<OUTPUT_NAME>`).
If a `module` block uses `for_each`, what is `module.<MODULE_NAME>`?	A map of objects keyed by the `for_each` keys, each object holding the module outputs.
If a `module` block uses `count`, what is `module.<MODULE_NAME>`?	A list of objects, one per module instance, each object holding the module outputs.
Why avoid `path.module` in write operations (Terraform)?	Local module calls can share the same source directory, so writes can clobber each other and create race conditions.
Terraform workspaces: what is `terraform.workspace`?	The name of the currently selected workspace.
Why can using `terraform.workspace` for namespacing break module composability?	It can prevent calling the same module more than once in a configuration (name collisions/assumptions).
With `count`, how do you get a list of an attribute across instances (Terraform)?	Use splat: `<TYPE>.<NAME>[*].id`.
With `for_each`, how do you collect an attribute across instances (Terraform)?	Use a for-expression, e.g. `[for v in <TYPE>.<NAME> : v.id]`.
