What is an SLI in SRE?	A carefully defined quantitative measure of some aspect of the service level being provided.
What is an SLO in SRE?	A target value or target range for a service level measured by an SLI.
What is an SLA in SRE?	An explicit or implicit agreement with users that includes consequences for meeting or missing service targets.
How can you usually tell the difference between an SLO and an SLA?	If missing the target has an explicit consequence, especially a business or financial one, it is an SLA.
Why is correctness still important even when it is not purely an SRE-owned concern?	A system can be available and fast yet still unhealthy if it returns the wrong answer or processes the wrong data.
Why is an SLI sometimes only a proxy for what users actually care about?	The most user-relevant behavior may be hard to measure directly, so teams approximate it with something measurable.
Why can client-side measurement be necessary in addition to server-side measurement?	Server metrics can miss user-visible problems such as frontend or browser-side latency.
Why should teams avoid choosing every possible metric as an SLI?	Too many indicators dilute attention and make it harder to focus on the behaviors that actually matter.
Why is averaging a metric over a long window potentially misleading?	It can hide short bursts, spikes, and other behaviors that matter operationally.
Why can average latency be a poor SLI summary?	Averages can hide long-tail requests that strongly affect user experience.
Why are percentiles usually better than means for latency SLIs?	Percentiles reveal the shape of the distribution, including tail behavior, instead of collapsing it into one average.
What does a high percentile such as the 99th or 99.9th latency represent?	A plausible worst-case latency that exposes long-tail behavior.
Why do some SRE teams focus on high-percentile latency rather than averages?	If tail latency is good, the typical experience is usually good as well, and users are sensitive to variance.
Why should SRE teams avoid assuming their operational data is normally distributed?	System metrics are often skewed or bounded, so standard intuitions about averages and outliers may fail.
Why should teams standardize SLI definitions?	Common templates reduce ambiguity and make SLI specifications easier to understand and compare.
What kinds of defaults can SLI templates standardize?	Measurement window, aggregation scope, sampling frequency, included requests, collection point, and latency definition.
Why is it often better to work backward from user goals to indicators?	Starting from what users care about produces more meaningful objectives than starting from whatever is easiest to measure.
Why should an SLO specify how it is measured and under what conditions it is valid?	Precise definitions remove ambiguity about what the target actually means.
When might it make sense to define multiple latency SLO targets instead of one?	When you need to capture different parts of the performance curve, such as typical, bad, and worst-case behavior.
When might it make sense to define separate SLOs for different workload classes?	When different clients value different things, such as throughput for batch users and latency for interactive users.
Why is 100% SLO compliance unrealistic and undesirable?	It reduces innovation, encourages overengineering, and often costs more than users need.
What is an error budget in the context of SLO management?	The allowed rate at which SLOs may be missed over a period.
Why shouldn't teams pick SLO targets based only on current system performance?	That can lock them into unrealistic or accidental targets based on today's implementation rather than user needs.
Why should SLOs be kept as simple as possible?	Complicated aggregations are harder to reason about and can hide meaningful changes in behavior.
Why should a service have as few SLOs as possible?	A small set of meaningful objectives is easier to prioritize around and more useful in real decisions.
Why is it better to start with a loose SLO and tighten it later than the reverse?	Relaxing an overly strict target is painful, while tightening a loose target is easier as you learn more.
How do SLOs function as control measures?	Teams monitor SLIs, compare them to targets, decide whether action is needed, and then take corrective action.
Why do published SLOs help users?	They set realistic expectations about how the service will behave and whether it fits the user's needs.
Why keep a tighter internal SLO than the one advertised externally?	It provides a safety margin so teams can respond to chronic problems before users notice.
Why should services avoid significantly overachieving their published SLOs?	Users will build dependencies on actual behavior rather than stated guarantees, creating future risk.
What is SRE's role in SLAs?	Help define measurable indicators and reduce the risk of missing targets, while business and legal teams own the agreement itself.
