Decorator desugaring: what does `@deco` mean (Python)?	It’s syntax sugar for rebinding: `func = deco(func)` right after `func` is defined.
Do decorators run at call time or at definition/import time (Python)?	At function definition time; usually during module import (module load), not when the function is later called.
Import time vs runtime: what’s the difference (Python, decorators context)?	Import time is when module top-level code runs (decorators execute); runtime is when decorated functions are invoked later.
What is a registration decorator used for (Python)?	To add functions to a registry (e.g., routing tables, plugin hooks) at import time.
What is a stacked decorator (Python)?	Multiple decorators applied to one function using multiple `@...` lines.
Stacked decorators desugaring (Python)?	`@a` then `@b` is `func = a(b(func))`.
Why do naive decorators often break `__name__` and `__doc__` (Python)?	Because the wrapper replaces the function object, so its metadata becomes the wrapper’s metadata.
Why should a decorator wrapper accept `*args, **kwargs` (Python)?	To forward any positional/keyword arguments so the decorator works for many signatures.
Variable scope rule: when is a name local inside a function (Python)?	If it’s a parameter or it’s assigned anywhere in the function body (unless declared `global`/`nonlocal`).
Why does `print(b); b = 9` raise `UnboundLocalError` (Python)?	Because assignment makes `b` local for the whole function, so `print(b)` reads an uninitialized local.
In a closure, where are captured bindings stored (Python)?	In the returned function object’s closure cells (`fn.__closure__`), keyed by names in `fn.__code__.co_freevars`.
Why does rebinding an outer-scope name require `nonlocal` (Python)?	Without `nonlocal`, an assignment makes the name local, so the closure binding won’t be updated.
Why does `count += 1` inside a nested function create a local `count` without `nonlocal` (Python)?	Augmented assignment on immutables rebinding (`count = count + 1`) counts as assignment, so the compiler treats `count` as local.
What’s the difference between mutating a captured list and rebinding a name (Python closures)?	`series.append(x)` mutates the same object (no rebinding); `count = count + 1` rebinds the name (needs `nonlocal` to target outer scope).
Variable lookup order: where does Python look if a name isn’t local (Python)?	Enclosing function scopes (nonlocal) → module globals → `__builtins__` (if not found, `NameError`).
What is the `dis` module used for (Python)?	Disassembling Python bytecode to inspect how the compiler treats names and operations.
What does `functools.cache` implement (Python)?	Memoization: caching results of function calls to avoid repeated computation for the same arguments.
`functools.cache`: what’s the key requirement on arguments (Python)?	All arguments must be hashable, because the cache is keyed using a dict.
What is a risk of using `functools.cache` in long-running processes (Python)?	Unbounded growth: it can consume a lot of memory if there are many distinct argument combinations.
What does `functools.lru_cache` add compared with `cache` (Python)?	A bounded cache with eviction controlled by `maxsize` (least-recently-used policy).
`lru_cache`: what does `maxsize` control (Python)?	The maximum number of cached entries (older entries are evicted once full).
What does `functools.singledispatch` create (Python)?	A single-dispatch generic function: multiple implementations chosen by the type of the first argument.
In single dispatch, which argument is used to choose the implementation (Python)?	The first positional argument’s runtime type.
What does `@singledispatch` decorate (Python)?	The base (fallback) implementation, which typically handles `object` as a catch-all.
How do you register a specialized implementation (singledispatch, Python)?	Decorate it with `@<base>.register` (using a first-parameter annotation or passing an explicit type to `register`).
In `singledispatch`, which implementation is chosen when multiple match (Python)?	The most specific matching type (best match in the type hierarchy), not the first one defined.
Can `singledispatch` registrations be defined in other modules (Python)?	Yes; registrations can live anywhere, allowing modular extension.
Why is `singledispatch` more extensible than an `if/elif` chain (Python)?	Because new types can register new implementations without editing the central dispatcher function.
How do you register a type without annotating the first parameter (singledispatch, Python)?	Pass the type to the decorator: `@<base>.register(SomeType)`.
How can one function implementation handle multiple types (singledispatch, Python)?	Stack multiple `@<base>.register(Type)` decorators on the same function.
Why register ABCs instead of concrete types in `singledispatch` (Python)?	It supports a broader range of compatible types (including virtual subclasses) without listing each concrete class.
What is a parameterized decorator (Python)?	A decorator that accepts extra arguments; implemented as a decorator factory that returns the actual decorator.
How does Python apply `@deco(arg)` (Python)?	It calls the factory `deco(arg)` to get a decorator, then applies it: `func = deco(arg)(func)`.
How can a decorator factory enable toggling behavior like registration (Python)?	The factory captures parameters (e.g., `active`) in a closure and returns a decorator that acts based on those parameters.
Class-based decorator factory: what makes an instance act as a decorator (Python)?	Implementing `__call__(self, func)` so the instance can be used as the decorator.
