Why are small deployments safer?	They bundle fewer changes, making defects easier to attribute and rollback cheaper.
How does CI/CD create a virtuous release cycle?	Automation enables frequent releases; frequent releases are smaller; smaller releases are easier to test and roll back.
How should teams balance shipping velocity and reliability?	Ship as quickly as possible while staying within user-facing reliability targets and error budgets.
How do error budgets help release decisions?	They quantify how much release risk the service can afford while still meeting reliability goals.
Why separate feature launches from binary releases?	Feature flags let teams enable, disable, or roll back individual features without rebuilding or redeploying the binary.
What kinds of changes can use canary-style rollout?	Binary changes, configuration changes, data changes, dependency changes, feature flags, and experiment configuration.
Why can production defects escape preproduction testing?	Test environments and test cases rarely match all production traffic, state, dependencies, and user behaviors.
What is the main purpose of a canary release?	Detect defects with high confidence while exposing only a small fraction of users or traffic.
What makes a canary process valuable?	It rejects bad releases confidently while avoiding frequent false alarms on good releases.
How does canarying protect the error budget?	Only the canary population is exposed, so defect impact is proportional to canary size and duration.
How should canary duration relate to release cadence?	Canaries must be short enough not to block the normal pace of releases.
Why avoid running multiple canaries at the same time?	Overlapping canaries make system state harder to reason about and can contaminate signals.
What determines a representative canary population?	Enough size, duration, traffic volume, timing, and metric coverage to reflect likely production behavior.
Why does traffic volume matter for canary evaluation?	The canary needs enough requests or work units for observed behavior to be attributable rather than random noise.
Why does time of day matter for canaries?	Some regressions appear only under peak load, business-hour usage patterns, or specific traffic mixes.
Why should canary parameters use historical data when available?	Past canary behavior can replace worst-case guesses with realistic failure rates and signal quality.
What is a good starting point for canary metrics?	Existing SLIs, because they usually map closely to user-visible service health.
Why limit the number of canary metrics?	Every metric needs thresholds and maintenance; too many metrics increase false positives and reduce trust.
What is the risk of overly strict canary thresholds?	Good releases may be rejected as false positives.
What is the risk of overly loose canary thresholds?	Bad releases may pass undetected.
What makes a metric a poor canary signal?	It changes for reasons unrelated to user impact or the release being tested.
Why can resource metrics be noisy canary signals?	CPU or memory changes may not affect users and may reflect unrelated processes or infrastructure variance.
Why are request errors and latency often good canary signals?	They usually correspond directly to user-visible failure or slowness.
How can black-box monitoring complement canary metrics?	It can test specific user-visible behavior and distinguish real service breakage from odd user traffic.
What does metric attribution mean in canarying?	Observed metric changes should be traceable to the canaried change rather than external factors.
Why can infrastructure differences distort canary evaluation?	Canary and control populations may run on machines, networks, kernels, or zones with different baseline behavior.
Why consider shared failure domains in canary analysis?	A bad canary can affect the control, or an external failure can make both canary and control look bad.
Why use absolute SLO checks alongside canary comparisons?	A/B comparison can miss cases where both canary and control degrade together.
Why is before/after canary evaluation risky?	Time itself changes traffic, load, and user behavior, so differences may not be caused by the release.
What is a gradual canary rollout?	A canary with multiple stages that increases exposure as confidence grows.
Why use stricter signals in early canary stages?	Small early stages should catch obvious failures while minimizing blast radius.
Why can later canary stages evaluate noisier metrics?	Larger populations provide more data and better confidence for subtle performance or resource signals.
Why is canarying noninteractive systems harder?	Work units may take a long time, pass through multiple stages, and mix signals across worker pools.
How should canary duration relate to long-running work units?	It should span at least the time needed to process a representative work unit.
Why keep a noninteractive work unit within one pool during canarying?	Mixing canary and control workers on the same work item makes attribution harder.
What monitoring breakdown is required for canary evaluation?	Metrics must be separable by canary and control population, version, shard, or other rollout label.
Why is whole-service monitoring insufficient for small canaries?	Canary failures can be hidden inside aggregate service metrics because the canary is a small fraction of traffic.
How should metric aggregation windows relate to canary duration?	Metric windows should be no longer than the canary duration, or prior events can muddy the signal.
Why is artificial load generation not a substitute for canarying?	Synthetic traffic may cover code paths but miss real production state, traffic shifts, and mutable-system behavior.
What is the benefit of traffic teeing?	It gives the test deployment representative production-like requests without directly serving users.
Why can traffic teeing mislead stateful-system evaluation?	Copied traffic may alter shared caches, storage, affinity, or other state that changes performance signals.
