Terraform: what is a conditional expression used for?	Select one of two values based on a boolean condition.
What is the syntax of a conditional expression (Terraform)?	`condition ? true_val : false_val`.
Why add custom conditions in Terraform configs (high level)?	To capture assumptions and produce earlier, clearer error messages (e.g., in variable validation or pre/postconditions).
Conditional expressions: what constraint applies to the two result values (Terraform)?	They must have the same type, so Terraform can determine the expression’s result type.
Terraform recommendation: what should you do if the expected result type may be unclear?	Use explicit type conversion functions (e.g., `tostring(...)`) rather than relying on implicit conversion.
Validation helper: how do you check membership in an allowed set (Terraform)?	`contains(["STAGE", "PROD"], var.environment)`.
Collection-wide validation pattern: how do you check a condition holds for all elements (Terraform)?	Use a for-expression + `alltrue([...])`, e.g. `alltrue([for v in var.instances : <bool expr>])`.
Collection-wide validation pattern: how do you check a condition holds for any element (Terraform)?	Use a for-expression + `anytrue([...])`.
What does `can(expr)` do in Terraform conditions?	Returns true if `expr` evaluates without error; false if evaluating it produces an error.
Example: how can `can` be used to validate a string with `regex` (Terraform)?	`can(regex("^[a-z]+$", var.name))` (because `regex` errors on non-match).
In conditions, what are `self`, `each`, and `count` used for (Terraform)?	`self` refers to attributes of the instance under evaluation in postcondition blocks; `each`/`count` refer to per-instance values inside blocks using `for_each`/`count`.
