When is streaming usually preferable to batch processing?	When the application needs low-latency or continuously updated results.
Why should pipeline owners define SLOs?	SLOs make pipeline health measurable and alert before customer impact or error-budget exhaustion becomes severe.
What are common forms of data freshness SLOs?	Percent of data processed within a time bound, oldest data age below a bound, or job completion within a bound.
Why are data correctness SLOs important?	They detect pipeline output errors that may otherwise silently charge users incorrectly, mislead products, or corrupt downstream systems.
How can golden data help measure pipeline correctness?	Known expected inputs and outputs can flow through production-like paths and be compared against actual results.
What is a backward-looking correctness SLO?	A target that limits how much bad output occurred over a period, such as incorrect invoices per quarter or hours of bad data served.
Why isolate high-priority data in a pipeline?	Resource-constrained systems can process important data first instead of letting lower-priority work consume capacity.
How can pipelines implement data priority isolation?	Use separate queues, jobs, worker pools, resource tiers, or retry paths for different priority classes.
Why should pipeline SLOs usually be end-to-end?	Customers care about when correct data is usable, not whether each internal stage individually looked healthy.
How can per-stage correctness checks miss data corruption?	One stage may add or expect data that a downstream stage drops, leaving both stages locally "correct" but the final output wrong.
Why plan for pipeline dependency failure?	A pipeline can fail its own SLO even when a storage, network, cloud, or third-party dependency stays within its advertised SLA.
What should pipeline owners do when dependency SLAs are weaker than pipeline SLOs?	Add redundancy, replication, failover, or accept and communicate a looser customer-facing SLO.
Why practice disaster recovery for pipelines?	Regular exercises reveal whether failover works, resources are available, and stale or incorrect data can be avoided.
What is the goal of pipeline prototyping?	Verify that the business logic and programming model can express the required semantics before productionizing the pipeline.
Why run a small dry run on production-like data?	It exposes bottlenecks and integration problems before a pipeline processes the full production workload.
Why should staging pipeline data resemble production data?	Unit tests miss many data-shape and integration failures that only appear with realistic end-to-end data.
How can A/B comparisons help pipeline releases?	Compare new output with known-good output to find expected and unexpected differences before promotion.
Why is pipeline canarying harder than canarying stateless services?	Pipelines persist data and may need a full processing cycle before correctness or customer impact is visible.
How can dry-run or two-phase writes make pipeline canaries safer?	The canary can process real data without immediately mutating production storage until results are verified.
Why might pipeline canaries use a subset of data instead of a subset of servers?	Some replicated or managed pipeline systems cannot safely deploy one region or cell independently.
What is the purpose of partial deployment in pipelines?	Run a major change on a limited account, user, region, or data subset before exposing the full workload.
What is hotspotting in a data pipeline?	A subset of data or a shared resource receives disproportionate access and becomes overloaded.
How can hotspotting appear in pipelines?	Overloaded serving tasks, hot storage ranges, lock contention, disk contention, or oversized work units.
Why should pipelines support blocking fine-grained bad data?	Isolating problematic records, users, or patterns lets the rest of the pipeline continue making progress.
How can dynamic rebalancing reduce pipeline hotspots?	The framework can split oversized or slow work into smaller pieces distributed across workers.
Why build an emergency shutdown or skip mechanism into pipeline clients?	Operators can quickly stop processing a damaging data pattern without shutting down the whole pipeline.
What strategies reduce pipeline hotspotting?	Spread access patterns, reduce load, reduce lock granularity, dynamically rebalance, or isolate problematic data.
Why is autoscaling useful for pipelines?	It handles variable workload without permanently provisioning for peak capacity.
Why do batch pipelines still need resource planning when autoscaling exists?	Batch jobs may consume all available resources at once, and scaling can pressure downstream storage or networks.
What costs should pipeline resource planning include beyond workers?	Storage, network bandwidth, cross-region replication, cross-region reads and writes, and expensive storage access patterns.
What security rule should pipeline stages follow for access control?	Grant each stage only the minimum access needed to read prior output and write its own output.
