Why is adopting Terraform on a team more than just introducing a new tool?	It also changes team skills, habits, workflows, and deployment processes.
Why can adopting infrastructure as code have a high opportunity cost?	Time spent learning and migrating to IaC is time not spent on other urgent projects.
Why is incremental adoption of Terraform usually safer than a big-bang migration?	Small steps reduce risk and let each step deliver value even if the larger migration stalls.
What makes a good incremental Terraform adoption strategy?	Solve one small, concrete problem at a time so each step is independently worthwhile.
Why must teams be given time to learn Terraform for adoption to succeed?	Otherwise they will fall back to manual changes during pressure and the Terraform code will drift from reality.
What usually happens if only one person on a team understands the Terraform code?	Others will keep making manual changes, and the Terraform code will quickly become stale and untrusted.
What is the purpose of having separate live and modules repositories for Terraform?	One repo defines reusable versioned modules, while the other defines what is actually deployed in each environment.
Why can a dedicated infrastructure team create leverage with a Terraform modules repo?	They can build reusable, production-grade modules that other teams consume instead of rebuilding infrastructure from scratch.
What is the Golden Rule of Terraform?	The main branch of the live repository should be a 1:1 representation of what is actually deployed in production.
Why do Terraform workspaces make the 1:1 live-repo rule weaker for real environments?	Multiple deployed environments can share one code copy, so browsing the repo no longer shows exactly what exists.
Why should shared Terraform environments be deployed from a single branch?	Deploying the same environment from multiple branches can cause one branch's plan to silently undo valid changes already applied from another branch.
Why is `terraform apply` from a developer workstation usually the wrong production workflow for teams?	It is less consistent, harder to secure, and easier to misuse than a CI-driven deployment flow.
Why is reviewing the Terraform plan output valuable in team workflows?	It often reveals unintended deletes, replacements, or reversions before they affect real infrastructure.
Why should Terraform deployments run from a CI server?	It forces full automation, uses a consistent environment, and gives tighter control over deployment permissions.
Why is giving a CI server broad permanent admin credentials especially risky for Terraform?	Terraform may need arbitrary infrastructure permissions, so a compromised CI server could become a full-account compromise.
What is a safer permission pattern for team Terraform deployments?	Use temporary credentials and isolate admin privileges behind a separate locked-down worker that only exposes a narrow deployment API.
Why should Terraform changes be promoted across environments as versioned artifacts?	It lets teams test the exact same version in pre-prod before production and roll back more predictably.
What extra step is commonly worth adding to Terraform promotion flows compared with app deployment flows?	A human approval step that reviews the plan output before apply.
Why should Terraform changes always be tested in pre-production before production?	Terraform usually does not roll back infrastructure changes automatically when something goes wrong.
What is `errored.tfstate` used for after a failed Terraform apply?	It contains state Terraform could not upload, so you can later recover by pushing it to the backend.
When is `terraform force-unlock` appropriate?	Only when you are sure a state lock was left behind accidentally and no real operation is still using it.
What problem does Terragrunt help solve in a Terraform live repository?	It reduces repeated boilerplate for provider, backend, module source, and environment-specific input configuration.
How does Terragrunt typically keep backend configuration DRY across many live modules?	By defining shared remote-state settings in parent `terragrunt.hcl` files and inheriting them in child modules.
What does a Terragrunt `dependency` block provide?	A way to read outputs from another Terragrunt-managed module and pass them as inputs without hardcoding remote-state details in the module itself.
