What is a higher-order function (Programming languages)?	A function that takes functions as arguments, returns functions, or both.
Why does a function value need environment information at run time?	A nested function may reference nonlocal variables from the scope where it was declared.
What is a closure (Programming languages)?	A function value represented as a pair of code and the environment needed by that code.
What does it mean that a closure "closes over" its environment?	It captures bindings from its declaring scope so the function can use them later.
How is a closure call set up at run time?	The call creates a new activation record and sets its access link from the closure's saved environment.
Why can a nested function passed as an argument still access nonlocal variables?	The function value carries the environment of its declaration with it.
Why is returning a nested function harder than passing one as an argument?	The returned function may outlive the call that created it, so its environment must remain available afterward.
When must an activation record outlive the function call that created it?	When a returned closure still needs variables stored in that activation record.
Why are closure environments often stored on the heap?	Because stack allocation alone cannot support environments that must survive after a function returns.
How can a returned closure provide private state?	It captures local variables that remain accessible only through that returned function.
Why is block scope often preferable to function scope?	It limits a binding's visibility to the block where it is needed and avoids accidental reuse across a whole function.
